corruption,severity,loss,accuracy,experiment,optimizer,rho
gaussian_noise,1,1.1232752561569215,0.7878,adamw_seed42,adamw,
gaussian_noise,2,2.984551397705078,0.5718,adamw_seed42,adamw,
gaussian_noise,3,5.934073405456543,0.3499,adamw_seed42,adamw,
gaussian_noise,4,7.412682577514649,0.2778,adamw_seed42,adamw,
gaussian_noise,5,8.654398236083985,0.2229,adamw_seed42,adamw,
shot_noise,1,0.7053041068077087,0.8566,adamw_seed42,adamw,
shot_noise,2,1.2685248673439027,0.7726,adamw_seed42,adamw,
shot_noise,3,3.7806186183929444,0.5114,adamw_seed42,adamw,
shot_noise,4,5.096490817260742,0.4098,adamw_seed42,adamw,
shot_noise,5,7.343793215942383,0.2795,adamw_seed42,adamw,
motion_blur,1,0.6121976360321045,0.8605,adamw_seed42,adamw,
motion_blur,2,1.1116987808227539,0.7762,adamw_seed42,adamw,
motion_blur,3,1.7118643745422364,0.6858,adamw_seed42,adamw,
motion_blur,4,1.6991664169311524,0.6853,adamw_seed42,adamw,
motion_blur,5,2.2823864959716795,0.6021,adamw_seed42,adamw,
brightness,1,0.33423131937980655,0.9237,adamw_seed42,adamw,
brightness,2,0.35839750652313235,0.9177,adamw_seed42,adamw,
brightness,3,0.3993397235870361,0.9101,adamw_seed42,adamw,
brightness,4,0.4491211717605591,0.8985,adamw_seed42,adamw,
brightness,5,0.613381058883667,0.8659,adamw_seed42,adamw,
contrast,1,0.3692179795265198,0.916,adamw_seed42,adamw,
contrast,2,0.6026305849075317,0.8701,adamw_seed42,adamw,
contrast,3,0.8961387115478515,0.816,adamw_seed42,adamw,
contrast,4,1.659853279876709,0.6917,adamw_seed42,adamw,
contrast,5,5.736547180175782,0.2994,adamw_seed42,adamw,
jpeg_compression,1,0.7009810245513916,0.8521,adamw_seed42,adamw,
jpeg_compression,2,0.9938902637481689,0.7938,adamw_seed42,adamw,
jpeg_compression,3,1.086474764442444,0.7754,adamw_seed42,adamw,
jpeg_compression,4,1.2371038314819336,0.7564,adamw_seed42,adamw,
jpeg_compression,5,1.430659912109375,0.7177,adamw_seed42,adamw,
