experiment,optimizer,rho,corruption,severity,feature_stability_cosine,feature_stability_std
sgd_seed42,sgd,,gaussian_noise,1,0.9015100598335266,0.09657171368598938
sgd_seed42,sgd,,gaussian_noise,2,0.7903810739517212,0.15778276324272156
sgd_seed42,sgd,,gaussian_noise,3,0.6755160093307495,0.1913282871246338
sgd_seed42,sgd,,gaussian_noise,4,0.6260340809822083,0.198051318526268
sgd_seed42,sgd,,gaussian_noise,5,0.5816760063171387,0.20295247435569763
sgd_seed42,sgd,,shot_noise,1,0.9424653053283691,0.06534610688686371
sgd_seed42,sgd,,shot_noise,2,0.8880006074905396,0.11025427281856537
sgd_seed42,sgd,,shot_noise,3,0.7597217559814453,0.17489773035049438
sgd_seed42,sgd,,shot_noise,4,0.707072913646698,0.19043265283107758
sgd_seed42,sgd,,shot_noise,5,0.6263124942779541,0.20292730629444122
sgd_seed42,sgd,,motion_blur,1,0.9613401293754578,0.044640518724918365
sgd_seed42,sgd,,motion_blur,2,0.9114925861358643,0.08583733439445496
sgd_seed42,sgd,,motion_blur,3,0.8566352725028992,0.11945010721683502
sgd_seed42,sgd,,motion_blur,4,0.8560376763343811,0.12027876079082489
sgd_seed42,sgd,,motion_blur,5,0.8063773512840271,0.14375996589660645
sgd_seed42,sgd,,brightness,1,0.9987766742706299,0.0020639970898628235
sgd_seed42,sgd,,brightness,2,0.9950634837150574,0.00740179605782032
sgd_seed42,sgd,,brightness,3,0.9891884922981262,0.015260539948940277
sgd_seed42,sgd,,brightness,4,0.9812535047531128,0.024937154725193977
sgd_seed42,sgd,,brightness,5,0.959094226360321,0.048424310982227325
sgd_seed42,sgd,,contrast,1,0.9934967756271362,0.007652811240404844
sgd_seed42,sgd,,contrast,2,0.9597246050834656,0.04215337336063385
sgd_seed42,sgd,,contrast,3,0.924347460269928,0.07039356231689453
sgd_seed42,sgd,,contrast,4,0.8535588979721069,0.11413329839706421
sgd_seed42,sgd,,contrast,5,0.6071030497550964,0.18336628377437592
sgd_seed42,sgd,,jpeg_compression,1,0.9478037357330322,0.05400775000452995
sgd_seed42,sgd,,jpeg_compression,2,0.9174851775169373,0.07743919640779495
sgd_seed42,sgd,,jpeg_compression,3,0.9056208729743958,0.08550917357206345
sgd_seed42,sgd,,jpeg_compression,4,0.8933055400848389,0.0939163863658905
sgd_seed42,sgd,,jpeg_compression,5,0.8755102753639221,0.10420624911785126
adamw_seed42,adamw,,gaussian_noise,1,0.9147863388061523,0.06895706057548523
adamw_seed42,adamw,,gaussian_noise,2,0.8181660771369934,0.11583644151687622
adamw_seed42,adamw,,gaussian_noise,3,0.714913010597229,0.14634525775909424
adamw_seed42,adamw,,gaussian_noise,4,0.6716301441192627,0.15422199666500092
adamw_seed42,adamw,,gaussian_noise,5,0.6356902718544006,0.15990732610225677
adamw_seed42,adamw,,shot_noise,1,0.9502705931663513,0.047983720898628235
adamw_seed42,adamw,,shot_noise,2,0.9050619006156921,0.07853284478187561
adamw_seed42,adamw,,shot_noise,3,0.7867145538330078,0.13243965804576874
adamw_seed42,adamw,,shot_noise,4,0.7391250729560852,0.14637181162834167
adamw_seed42,adamw,,shot_noise,5,0.6674560308456421,0.16016089916229248
adamw_seed42,adamw,,motion_blur,1,0.9587292075157166,0.03476231172680855
adamw_seed42,adamw,,motion_blur,2,0.9131119847297668,0.06370161473751068
adamw_seed42,adamw,,motion_blur,3,0.8691679835319519,0.08527420461177826
adamw_seed42,adamw,,motion_blur,4,0.8697641491889954,0.08523648232221603
adamw_seed42,adamw,,motion_blur,5,0.8317956924438477,0.0981871634721756
adamw_seed42,adamw,,brightness,1,0.9986274242401123,0.0020959279499948025
adamw_seed42,adamw,,brightness,2,0.9945998191833496,0.006347156595438719
adamw_seed42,adamw,,brightness,3,0.9884006977081299,0.012366391718387604
adamw_seed42,adamw,,brightness,4,0.9803490042686462,0.019466066733002663
adamw_seed42,adamw,,brightness,5,0.9590430855751038,0.03620384633541107
adamw_seed42,adamw,,contrast,1,0.9930779337882996,0.005798978731036186
adamw_seed42,adamw,,contrast,2,0.959006130695343,0.03054332360625267
adamw_seed42,adamw,,contrast,3,0.9250889420509338,0.05162753537297249
adamw_seed42,adamw,,contrast,4,0.8610875010490417,0.08401929587125778
adamw_seed42,adamw,,contrast,5,0.6482553482055664,0.13646042346954346
adamw_seed42,adamw,,jpeg_compression,1,0.9522316455841064,0.03794330358505249
adamw_seed42,adamw,,jpeg_compression,2,0.9261636734008789,0.05438674986362457
adamw_seed42,adamw,,jpeg_compression,3,0.916716992855072,0.06004461273550987
adamw_seed42,adamw,,jpeg_compression,4,0.9066879749298096,0.06600702553987503
adamw_seed42,adamw,,jpeg_compression,5,0.8926951289176941,0.07287100702524185
sam_rho001_seed42,sam,0.01,gaussian_noise,1,0.9059845805168152,0.09142176061868668
sam_rho001_seed42,sam,0.01,gaussian_noise,2,0.8060631155967712,0.14633524417877197
sam_rho001_seed42,sam,0.01,gaussian_noise,3,0.6978747844696045,0.18428422510623932
sam_rho001_seed42,sam,0.01,gaussian_noise,4,0.6486312747001648,0.19413504004478455
sam_rho001_seed42,sam,0.01,gaussian_noise,5,0.6051647663116455,0.20169803500175476
sam_rho001_seed42,sam,0.01,shot_noise,1,0.9452892541885376,0.06254705786705017
sam_rho001_seed42,sam,0.01,shot_noise,2,0.8954269289970398,0.102742999792099
sam_rho001_seed42,sam,0.01,shot_noise,3,0.7734529376029968,0.16672877967357635
sam_rho001_seed42,sam,0.01,shot_noise,4,0.7230702638626099,0.18292643129825592
sam_rho001_seed42,sam,0.01,shot_noise,5,0.6407010555267334,0.20089371502399445
sam_rho001_seed42,sam,0.01,motion_blur,1,0.9623148441314697,0.04205060750246048
sam_rho001_seed42,sam,0.01,motion_blur,2,0.9099859595298767,0.08635439723730087
sam_rho001_seed42,sam,0.01,motion_blur,3,0.8539856672286987,0.122513547539711
sam_rho001_seed42,sam,0.01,motion_blur,4,0.8534780144691467,0.12291043996810913
sam_rho001_seed42,sam,0.01,motion_blur,5,0.804495632648468,0.14599652588367462
sam_rho001_seed42,sam,0.01,brightness,1,0.9989275336265564,0.001656660926528275
sam_rho001_seed42,sam,0.01,brightness,2,0.9956348538398743,0.006541916634887457
sam_rho001_seed42,sam,0.01,brightness,3,0.9903368949890137,0.013728284277021885
sam_rho001_seed42,sam,0.01,brightness,4,0.9831341505050659,0.022234883159399033
sam_rho001_seed42,sam,0.01,brightness,5,0.9628093838691711,0.042314402759075165
sam_rho001_seed42,sam,0.01,contrast,1,0.9937196373939514,0.006963685154914856
sam_rho001_seed42,sam,0.01,contrast,2,0.9614599347114563,0.039015885442495346
sam_rho001_seed42,sam,0.01,contrast,3,0.9273563623428345,0.06645501405000687
sam_rho001_seed42,sam,0.01,contrast,4,0.8585044741630554,0.10989794880151749
sam_rho001_seed42,sam,0.01,contrast,5,0.6080242395401001,0.18621528148651123
sam_rho001_seed42,sam,0.01,jpeg_compression,1,0.9525490403175354,0.04691157117486
sam_rho001_seed42,sam,0.01,jpeg_compression,2,0.9247043132781982,0.06876517087221146
sam_rho001_seed42,sam,0.01,jpeg_compression,3,0.9140850305557251,0.07608765363693237
sam_rho001_seed42,sam,0.01,jpeg_compression,4,0.9028945565223694,0.08358071744441986
sam_rho001_seed42,sam,0.01,jpeg_compression,5,0.8862158060073853,0.0938679650425911
sam_rho005_seed42,sam,0.05,gaussian_noise,1,0.8909878730773926,0.09502577036619186
sam_rho005_seed42,sam,0.05,gaussian_noise,2,0.7806142568588257,0.1463214010000229
sam_rho005_seed42,sam,0.05,gaussian_noise,3,0.6719214916229248,0.17567415535449982
sam_rho005_seed42,sam,0.05,gaussian_noise,4,0.6247934103012085,0.1835239827632904
sam_rho005_seed42,sam,0.05,gaussian_noise,5,0.5862666964530945,0.18829777836799622
sam_rho005_seed42,sam,0.05,shot_noise,1,0.9334611296653748,0.06967934966087341
sam_rho005_seed42,sam,0.05,shot_noise,2,0.876143753528595,0.10869695991277695
sam_rho005_seed42,sam,0.05,shot_noise,3,0.7474443912506104,0.16525860130786896
sam_rho005_seed42,sam,0.05,shot_noise,4,0.6978334784507751,0.17811541259288788
sam_rho005_seed42,sam,0.05,shot_noise,5,0.6232457756996155,0.1904202401638031
sam_rho005_seed42,sam,0.05,motion_blur,1,0.9619604349136353,0.040293820202350616
sam_rho005_seed42,sam,0.05,motion_blur,2,0.9143930673599243,0.0798012986779213
sam_rho005_seed42,sam,0.05,motion_blur,3,0.8632420897483826,0.11061232537031174
sam_rho005_seed42,sam,0.05,motion_blur,4,0.8638493418693542,0.1097540408372879
sam_rho005_seed42,sam,0.05,motion_blur,5,0.8166283369064331,0.1311028003692627
sam_rho005_seed42,sam,0.05,brightness,1,0.9988393783569336,0.0021934027317911386
sam_rho005_seed42,sam,0.05,brightness,2,0.9953901171684265,0.007132032886147499
sam_rho005_seed42,sam,0.05,brightness,3,0.989933967590332,0.013317769393324852
sam_rho005_seed42,sam,0.05,brightness,4,0.9825845956802368,0.020995324477553368
sam_rho005_seed42,sam,0.05,brightness,5,0.9618874788284302,0.04106608033180237
sam_rho005_seed42,sam,0.05,contrast,1,0.9939135909080505,0.006090710870921612
sam_rho005_seed42,sam,0.05,contrast,2,0.9612054824829102,0.034978412091732025
sam_rho005_seed42,sam,0.05,contrast,3,0.9260541796684265,0.060605354607105255
sam_rho005_seed42,sam,0.05,contrast,4,0.855507493019104,0.10056649148464203
sam_rho005_seed42,sam,0.05,contrast,5,0.6165443062782288,0.16987568140029907
sam_rho005_seed42,sam,0.05,jpeg_compression,1,0.9508205056190491,0.04551826789975166
sam_rho005_seed42,sam,0.05,jpeg_compression,2,0.9227254986763,0.06521522998809814
sam_rho005_seed42,sam,0.05,jpeg_compression,3,0.9126559495925903,0.07244762778282166
sam_rho005_seed42,sam,0.05,jpeg_compression,4,0.9010699391365051,0.07965178787708282
sam_rho005_seed42,sam,0.05,jpeg_compression,5,0.885694146156311,0.08897203207015991
sam_rho010_seed42,sam,0.1,gaussian_noise,1,0.8895865082740784,0.09590854495763779
sam_rho010_seed42,sam,0.1,gaussian_noise,2,0.7848437428474426,0.14664125442504883
sam_rho010_seed42,sam,0.1,gaussian_noise,3,0.6804441213607788,0.17734137177467346
sam_rho010_seed42,sam,0.1,gaussian_noise,4,0.6371843814849854,0.18491600453853607
sam_rho010_seed42,sam,0.1,gaussian_noise,5,0.5979341864585876,0.1898612082004547
sam_rho010_seed42,sam,0.1,shot_noise,1,0.9322774410247803,0.07092312723398209
sam_rho010_seed42,sam,0.1,shot_noise,2,0.8776293992996216,0.10808894783258438
sam_rho010_seed42,sam,0.1,shot_noise,3,0.7556030750274658,0.163357213139534
sam_rho010_seed42,sam,0.1,shot_noise,4,0.7083920836448669,0.17765438556671143
sam_rho010_seed42,sam,0.1,shot_noise,5,0.6344113349914551,0.1912720650434494
sam_rho010_seed42,sam,0.1,motion_blur,1,0.9580938220024109,0.041476503014564514
sam_rho010_seed42,sam,0.1,motion_blur,2,0.9037142395973206,0.08129514008760452
sam_rho010_seed42,sam,0.1,motion_blur,3,0.8473472595214844,0.1105961948633194
sam_rho010_seed42,sam,0.1,motion_blur,4,0.8472248315811157,0.11129309237003326
sam_rho010_seed42,sam,0.1,motion_blur,5,0.796188473701477,0.13065487146377563
sam_rho010_seed42,sam,0.1,brightness,1,0.9989864230155945,0.0020452074240893126
sam_rho010_seed42,sam,0.1,brightness,2,0.9959341883659363,0.005774627439677715
sam_rho010_seed42,sam,0.1,brightness,3,0.9910388588905334,0.011723347008228302
sam_rho010_seed42,sam,0.1,brightness,4,0.9843732714653015,0.019086143001914024
sam_rho010_seed42,sam,0.1,brightness,5,0.9656051993370056,0.03714146465063095
sam_rho010_seed42,sam,0.1,contrast,1,0.9939699172973633,0.005839027464389801
sam_rho010_seed42,sam,0.1,contrast,2,0.9625694155693054,0.03146899491548538
sam_rho010_seed42,sam,0.1,contrast,3,0.9290003776550293,0.05452577769756317
sam_rho010_seed42,sam,0.1,contrast,4,0.8604433536529541,0.09217823296785355
sam_rho010_seed42,sam,0.1,contrast,5,0.6011363863945007,0.1633075326681137
sam_rho010_seed42,sam,0.1,jpeg_compression,1,0.9511563181877136,0.043395351618528366
sam_rho010_seed42,sam,0.1,jpeg_compression,2,0.9243737459182739,0.06089955195784569
sam_rho010_seed42,sam,0.1,jpeg_compression,3,0.9143770337104797,0.06800146400928497
sam_rho010_seed42,sam,0.1,jpeg_compression,4,0.9036449193954468,0.07439110428094864
sam_rho010_seed42,sam,0.1,jpeg_compression,5,0.8891420960426331,0.08274693787097931
