experiment,optimizer,rho,layer,cka_clean_corrupted
sgd_seed42,sgd,,layer1,0.8763184547424316
sgd_seed42,sgd,,layer2,0.827960193157196
sgd_seed42,sgd,,layer3,0.6030533313751221
sgd_seed42,sgd,,layer4,0.45207250118255615
sgd_seed42,sgd,,penultimate,0.45207250118255615
adamw_seed42,adamw,,layer1,0.7600391507148743
adamw_seed42,adamw,,layer2,0.7165549993515015
adamw_seed42,adamw,,layer3,0.5900253057479858
adamw_seed42,adamw,,layer4,0.5348731279373169
adamw_seed42,adamw,,penultimate,0.5348731279373169
sam_rho001_seed42,sam,0.01,layer1,0.8772025108337402
sam_rho001_seed42,sam,0.01,layer2,0.8096352815628052
sam_rho001_seed42,sam,0.01,layer3,0.6036902666091919
sam_rho001_seed42,sam,0.01,layer4,0.5223385095596313
sam_rho001_seed42,sam,0.01,penultimate,0.5223385095596313
sam_rho005_seed42,sam,0.05,layer1,0.8165092468261719
sam_rho005_seed42,sam,0.05,layer2,0.8060916662216187
sam_rho005_seed42,sam,0.05,layer3,0.5870754718780518
sam_rho005_seed42,sam,0.05,layer4,0.5646132826805115
sam_rho005_seed42,sam,0.05,penultimate,0.5646132826805115
sam_rho010_seed42,sam,0.1,layer1,0.7938646078109741
sam_rho010_seed42,sam,0.1,layer2,0.7790646553039551
sam_rho010_seed42,sam,0.1,layer3,0.6158815622329712
sam_rho010_seed42,sam,0.1,layer4,0.6132391691207886
sam_rho010_seed42,sam,0.1,penultimate,0.6132391691207886
