experiment,optimizer,rho,layer,mean_cosine_similarity,std_cosine_similarity
sgd_seed42,sgd,,layer1,0.8956910967826843,0.04697515442967415
sgd_seed42,sgd,,layer2,0.8433153033256531,0.06314858049154282
sgd_seed42,sgd,,layer3,0.7567312717437744,0.0795464813709259
sgd_seed42,sgd,,layer4,0.6755160093307495,0.1913282871246338
sgd_seed42,sgd,,penultimate,0.6755160093307495,0.1913282871246338
adamw_seed42,adamw,,layer1,0.926506757736206,0.04371659830212593
adamw_seed42,adamw,,layer2,0.8944893479347229,0.056400131434202194
adamw_seed42,adamw,,layer3,0.8073281049728394,0.07061576098203659
adamw_seed42,adamw,,layer4,0.714913010597229,0.14634525775909424
adamw_seed42,adamw,,penultimate,0.714913010597229,0.14634525775909424
sam_rho001_seed42,sam,0.01,layer1,0.8991066217422485,0.04685815051198006
sam_rho001_seed42,sam,0.01,layer2,0.8480749130249023,0.06848759204149246
sam_rho001_seed42,sam,0.01,layer3,0.7493830323219299,0.09086810052394867
sam_rho001_seed42,sam,0.01,layer4,0.6978747844696045,0.18428422510623932
sam_rho001_seed42,sam,0.01,penultimate,0.6978747844696045,0.18428422510623932
sam_rho005_seed42,sam,0.05,layer1,0.8877580165863037,0.06300286948680878
sam_rho005_seed42,sam,0.05,layer2,0.8399103283882141,0.07750529050827026
sam_rho005_seed42,sam,0.05,layer3,0.7487109303474426,0.0830099955201149
sam_rho005_seed42,sam,0.05,layer4,0.6719214916229248,0.17567415535449982
sam_rho005_seed42,sam,0.05,penultimate,0.6719214916229248,0.17567415535449982
sam_rho010_seed42,sam,0.1,layer1,0.8749088048934937,0.052042338997125626
sam_rho010_seed42,sam,0.1,layer2,0.8517443537712097,0.06750325113534927
sam_rho010_seed42,sam,0.1,layer3,0.7624437212944031,0.08518461883068085
sam_rho010_seed42,sam,0.1,layer4,0.6804441213607788,0.17734137177467346
sam_rho010_seed42,sam,0.1,penultimate,0.6804441213607788,0.17734137177467346
