corruption,severity,loss,ood_accuracy,experiment,optimizer_x,rho_x,optimizer_y,rho_y,feature_stability_cosine,feature_stability_std
gaussian_noise,1,0.7848026023864746,0.795,sgd_seed42,sgd,,sgd,,0.9015100598335266,0.0965717136859893
gaussian_noise,2,1.876251145744324,0.5967,sgd_seed42,sgd,,sgd,,0.7903810739517212,0.1577827632427215
gaussian_noise,3,3.3849290885925294,0.3885,sgd_seed42,sgd,,sgd,,0.6755160093307495,0.1913282871246338
gaussian_noise,4,4.117495902633667,0.3087,sgd_seed42,sgd,,sgd,,0.6260340809822083,0.198051318526268
gaussian_noise,5,4.830971188354492,0.2485,sgd_seed42,sgd,,sgd,,0.5816760063171387,0.2029524743556976
shot_noise,1,0.5110609073877335,0.8592,sgd_seed42,sgd,,sgd,,0.9424653053283693,0.0653461068868637
shot_noise,2,0.8889068604946136,0.7718,sgd_seed42,sgd,,sgd,,0.8880006074905396,0.1102542728185653
shot_noise,3,2.2029309606552125,0.5486,sgd_seed42,sgd,,sgd,,0.7597217559814453,0.1748977303504943
shot_noise,4,2.8660630729675294,0.4594,sgd_seed42,sgd,,sgd,,0.707072913646698,0.1904326528310775
shot_noise,5,4.012676425933838,0.3188,sgd_seed42,sgd,,sgd,,0.6263124942779541,0.2029273062944412
motion_blur,1,0.4094845132350921,0.879,sgd_seed42,sgd,,sgd,,0.9613401293754578,0.0446405187249183
motion_blur,2,0.7213986436367035,0.8035,sgd_seed42,sgd,,sgd,,0.9114925861358644,0.0858373343944549
motion_blur,3,1.1439354466438294,0.7073,sgd_seed42,sgd,,sgd,,0.8566352725028992,0.119450107216835
motion_blur,4,1.1533606766700744,0.6994,sgd_seed42,sgd,,sgd,,0.8560376763343811,0.1202787607908248
motion_blur,5,1.5831930324554444,0.6063,sgd_seed42,sgd,,sgd,,0.8063773512840271,0.1437599658966064
brightness,1,0.234318643951416,0.9313,sgd_seed42,sgd,,sgd,,0.99877667427063,0.0020639970898628
brightness,2,0.2492868040084838,0.926,sgd_seed42,sgd,,sgd,,0.9950634837150574,0.0074017960578203
brightness,3,0.2751371734619141,0.9183,sgd_seed42,sgd,,sgd,,0.9891884922981262,0.0152605399489402
brightness,4,0.3099820557594299,0.9112,sgd_seed42,sgd,,sgd,,0.9812535047531128,0.0249371547251939
brightness,5,0.4178161390304565,0.8836,sgd_seed42,sgd,,sgd,,0.959094226360321,0.0484243109822273
contrast,1,0.2548033665657043,0.9247,sgd_seed42,sgd,,sgd,,0.9934967756271362,0.0076528112404048
contrast,2,0.4219049093246459,0.8808,sgd_seed42,sgd,,sgd,,0.9597246050834656,0.0421533733606338
contrast,3,0.6238262353897095,0.8328,sgd_seed42,sgd,,sgd,,0.924347460269928,0.0703935623168945
contrast,4,1.1045390354156497,0.7202,sgd_seed42,sgd,,sgd,,0.8535588979721069,0.1141332983970642
contrast,5,3.468090956878662,0.3054,sgd_seed42,sgd,,sgd,,0.6071030497550964,0.1833662837743759
jpeg_compression,1,0.4963170090675354,0.8604,sgd_seed42,sgd,,sgd,,0.9478037357330322,0.0540077500045299
jpeg_compression,2,0.6845314606666565,0.812,sgd_seed42,sgd,,sgd,,0.9174851775169371,0.0774391964077949
jpeg_compression,3,0.7599879655838012,0.7924,sgd_seed42,sgd,,sgd,,0.9056208729743958,0.0855091735720634
jpeg_compression,4,0.8420270935058594,0.7699,sgd_seed42,sgd,,sgd,,0.8933055400848389,0.0939163863658905
jpeg_compression,5,0.9831815521240236,0.736,sgd_seed42,sgd,,sgd,,0.8755102753639221,0.1042062491178512
gaussian_noise,1,1.1232752561569217,0.7878,adamw_seed42,adamw,,adamw,,0.9147863388061525,0.0689570605754852
gaussian_noise,2,2.984551397705078,0.5718,adamw_seed42,adamw,,adamw,,0.8181660771369934,0.1158364415168762
gaussian_noise,3,5.934073405456543,0.3499,adamw_seed42,adamw,,adamw,,0.714913010597229,0.1463452577590942
gaussian_noise,4,7.412682577514649,0.2778,adamw_seed42,adamw,,adamw,,0.6716301441192627,0.1542219966650009
gaussian_noise,5,8.654398236083985,0.2229,adamw_seed42,adamw,,adamw,,0.6356902718544006,0.1599073261022567
shot_noise,1,0.7053041068077087,0.8566,adamw_seed42,adamw,,adamw,,0.9502705931663512,0.0479837208986282
shot_noise,2,1.268524867343903,0.7726,adamw_seed42,adamw,,adamw,,0.905061900615692,0.0785328447818756
shot_noise,3,3.780618618392944,0.5114,adamw_seed42,adamw,,adamw,,0.7867145538330078,0.1324396580457687
shot_noise,4,5.096490817260742,0.4098,adamw_seed42,adamw,,adamw,,0.7391250729560852,0.1463718116283416
shot_noise,5,7.343793215942383,0.2795,adamw_seed42,adamw,,adamw,,0.6674560308456421,0.1601608991622924
motion_blur,1,0.6121976360321045,0.8605,adamw_seed42,adamw,,adamw,,0.9587292075157166,0.0347623117268085
motion_blur,2,1.111698780822754,0.7762,adamw_seed42,adamw,,adamw,,0.9131119847297668,0.0637016147375106
motion_blur,3,1.7118643745422364,0.6858,adamw_seed42,adamw,,adamw,,0.8691679835319519,0.0852742046117782
motion_blur,4,1.6991664169311524,0.6853,adamw_seed42,adamw,,adamw,,0.8697641491889954,0.085236482322216
motion_blur,5,2.2823864959716795,0.6021,adamw_seed42,adamw,,adamw,,0.8317956924438477,0.0981871634721756
brightness,1,0.3342313193798065,0.9237,adamw_seed42,adamw,,adamw,,0.9986274242401124,0.0020959279499948
brightness,2,0.3583975065231323,0.9177,adamw_seed42,adamw,,adamw,,0.9945998191833496,0.0063471565954387
brightness,3,0.3993397235870361,0.9101,adamw_seed42,adamw,,adamw,,0.98840069770813,0.0123663917183876
brightness,4,0.4491211717605591,0.8985,adamw_seed42,adamw,,adamw,,0.9803490042686462,0.0194660667330026
brightness,5,0.613381058883667,0.8659,adamw_seed42,adamw,,adamw,,0.9590430855751038,0.036203846335411
