corruption,severity,loss,accuracy,experiment,optimizer,rho
gaussian_noise,1,0.7029332661628723,0.7865,sam_rho005_seed42,sam,0.05
gaussian_noise,2,1.581313081741333,0.5766,sam_rho005_seed42,sam,0.05
gaussian_noise,3,2.6754959358215333,0.3766,sam_rho005_seed42,sam,0.05
gaussian_noise,4,3.2100535438537596,0.3019,sam_rho005_seed42,sam,0.05
gaussian_noise,5,3.662301825714111,0.2543,sam_rho005_seed42,sam,0.05
shot_noise,1,0.45657404007911684,0.8553,sam_rho005_seed42,sam,0.05
shot_noise,2,0.8086318325996399,0.7563,sam_rho005_seed42,sam,0.05
shot_noise,3,1.862017164039612,0.5325,sam_rho005_seed42,sam,0.05
shot_noise,4,2.344882431602478,0.4432,sam_rho005_seed42,sam,0.05
shot_noise,5,3.114117694854736,0.3195,sam_rho005_seed42,sam,0.05
motion_blur,1,0.33892452726364136,0.8884,sam_rho005_seed42,sam,0.05
motion_blur,2,0.6038000364303588,0.8096,sam_rho005_seed42,sam,0.05
motion_blur,3,0.9471407863616943,0.7207,sam_rho005_seed42,sam,0.05
motion_blur,4,0.9356892163276672,0.7187,sam_rho005_seed42,sam,0.05
motion_blur,5,1.2747545003890992,0.6277,sam_rho005_seed42,sam,0.05
brightness,1,0.19471958947181703,0.934,sam_rho005_seed42,sam,0.05
brightness,2,0.2048508855819702,0.9318,sam_rho005_seed42,sam,0.05
brightness,3,0.2228788269996643,0.9253,sam_rho005_seed42,sam,0.05
brightness,4,0.2471402319908142,0.9191,sam_rho005_seed42,sam,0.05
brightness,5,0.3253564363479614,0.8925,sam_rho005_seed42,sam,0.05
contrast,1,0.2095351387500763,0.9294,sam_rho005_seed42,sam,0.05
contrast,2,0.3349806568145752,0.8868,sam_rho005_seed42,sam,0.05
contrast,3,0.4999894432067871,0.8341,sam_rho005_seed42,sam,0.05
contrast,4,0.9155424255371094,0.7084,sam_rho005_seed42,sam,0.05
contrast,5,2.9118441444396974,0.2891,sam_rho005_seed42,sam,0.05
jpeg_compression,1,0.4090817505836487,0.8679,sam_rho005_seed42,sam,0.05
jpeg_compression,2,0.5592306670188903,0.8187,sam_rho005_seed42,sam,0.05
jpeg_compression,3,0.6154875889778137,0.8063,sam_rho005_seed42,sam,0.05
jpeg_compression,4,0.6931495010375976,0.7804,sam_rho005_seed42,sam,0.05
jpeg_compression,5,0.8055927434921265,0.7447,sam_rho005_seed42,sam,0.05
