experiment,optimizer,rho,seed,epoch,train_loss,train_acc,test_loss,test_acc
sam_rho010_seed42,sam,0.1,42,1,2.3229245990371705,0.17582,2.0113085947036744,0.2448
sam_rho010_seed42,sam,0.1,42,2,1.7879613400650025,0.31994,1.6140933471679688,0.3867
sam_rho010_seed42,sam,0.1,42,3,1.4910853399658204,0.4449,1.2809433671951294,0.5233
sam_rho010_seed42,sam,0.1,42,4,1.2014417055511475,0.55892,1.0794088832855224,0.6067
sam_rho010_seed42,sam,0.1,42,5,0.9987449165344239,0.64092,0.9855219856262207,0.6432
sam_rho010_seed42,sam,0.1,42,6,0.8436828961372376,0.70332,0.8403152363777161,0.7006
sam_rho010_seed42,sam,0.1,42,7,0.7212082377243042,0.75046,0.6898793809890748,0.7604
sam_rho010_seed42,sam,0.1,42,8,0.6318956028747559,0.78202,0.5766927216529846,0.8008
sam_rho010_seed42,sam,0.1,42,9,0.5550375538444519,0.8098,0.58160908370018,0.7977
sam_rho010_seed42,sam,0.1,42,10,0.5206651323890686,0.82192,0.5283885101795196,0.8188
sam_rho010_seed42,sam,0.1,42,11,0.47461996603012085,0.8396,0.5278939916610718,0.8196
sam_rho010_seed42,sam,0.1,42,12,0.4404906218910217,0.85122,0.5347580379486084,0.8108
sam_rho010_seed42,sam,0.1,42,13,0.40968997175216676,0.86186,0.48085272617340086,0.8332
sam_rho010_seed42,sam,0.1,42,14,0.37999885663986205,0.87382,0.424029522562027,0.8546
sam_rho010_seed42,sam,0.1,42,15,0.34912120893478393,0.88268,0.3839790180206299,0.8684
sam_rho010_seed42,sam,0.1,42,16,0.32468070406913757,0.89378,0.3644031227588654,0.8759
sam_rho010_seed42,sam,0.1,42,17,0.29362971923828124,0.9035,0.34275272970199583,0.8818
sam_rho010_seed42,sam,0.1,42,18,0.271426578540802,0.9132,0.3241460765838623,0.8874
sam_rho010_seed42,sam,0.1,42,19,0.24572464956283568,0.92216,0.30654294152259826,0.8961
sam_rho010_seed42,sam,0.1,42,20,0.223542760887146,0.93004,0.28094651095867157,0.9025
sam_rho010_seed42,sam,0.1,42,21,0.2039198805618286,0.93688,0.275147003698349,0.9062
sam_rho010_seed42,sam,0.1,42,22,0.18290751458644866,0.94398,0.25475532512664795,0.9125
sam_rho010_seed42,sam,0.1,42,23,0.16467897921562194,0.95222,0.2379080040693283,0.9194
sam_rho010_seed42,sam,0.1,42,24,0.1445252726531029,0.959,0.22715544638633728,0.9208
sam_rho010_seed42,sam,0.1,42,25,0.13102337416172027,0.9632,0.21673965451717378,0.9233
sam_rho010_seed42,sam,0.1,42,26,0.11492996901035309,0.96932,0.21380292992591857,0.9264
sam_rho010_seed42,sam,0.1,42,27,0.10528233341693878,0.9732,0.20419390254020692,0.9282
sam_rho010_seed42,sam,0.1,42,28,0.09623450889348983,0.97672,0.19912571535110474,0.928
sam_rho010_seed42,sam,0.1,42,29,0.09140583487987518,0.97842,0.19780329144001008,0.9285
sam_rho010_seed42,sam,0.1,42,30,0.08969646352291107,0.97898,0.19757442231178285,0.9286
