corruption,severity,loss,accuracy,experiment,optimizer,rho
gaussian_noise,1,0.7848026023864746,0.795,sgd_seed42,sgd,
gaussian_noise,2,1.8762511457443238,0.5967,sgd_seed42,sgd,
gaussian_noise,3,3.3849290885925294,0.3885,sgd_seed42,sgd,
gaussian_noise,4,4.117495902633667,0.3087,sgd_seed42,sgd,
gaussian_noise,5,4.830971188354492,0.2485,sgd_seed42,sgd,
shot_noise,1,0.5110609073877335,0.8592,sgd_seed42,sgd,
shot_noise,2,0.8889068604946136,0.7718,sgd_seed42,sgd,
shot_noise,3,2.2029309606552125,0.5486,sgd_seed42,sgd,
shot_noise,4,2.8660630729675294,0.4594,sgd_seed42,sgd,
shot_noise,5,4.012676425933838,0.3188,sgd_seed42,sgd,
motion_blur,1,0.40948451323509216,0.879,sgd_seed42,sgd,
motion_blur,2,0.7213986436367035,0.8035,sgd_seed42,sgd,
motion_blur,3,1.1439354466438294,0.7073,sgd_seed42,sgd,
motion_blur,4,1.1533606766700744,0.6994,sgd_seed42,sgd,
motion_blur,5,1.5831930324554444,0.6063,sgd_seed42,sgd,
brightness,1,0.23431864395141602,0.9313,sgd_seed42,sgd,
brightness,2,0.24928680400848388,0.926,sgd_seed42,sgd,
brightness,3,0.2751371734619141,0.9183,sgd_seed42,sgd,
brightness,4,0.30998205575942994,0.9112,sgd_seed42,sgd,
brightness,5,0.41781613903045656,0.8836,sgd_seed42,sgd,
contrast,1,0.25480336656570435,0.9247,sgd_seed42,sgd,
contrast,2,0.42190490932464597,0.8808,sgd_seed42,sgd,
contrast,3,0.6238262353897095,0.8328,sgd_seed42,sgd,
contrast,4,1.1045390354156495,0.7202,sgd_seed42,sgd,
contrast,5,3.468090956878662,0.3054,sgd_seed42,sgd,
jpeg_compression,1,0.4963170090675354,0.8604,sgd_seed42,sgd,
jpeg_compression,2,0.6845314606666565,0.812,sgd_seed42,sgd,
jpeg_compression,3,0.7599879655838012,0.7924,sgd_seed42,sgd,
jpeg_compression,4,0.8420270935058594,0.7699,sgd_seed42,sgd,
jpeg_compression,5,0.9831815521240235,0.736,sgd_seed42,sgd,
